Season,Team,Player Names
2000,Borussia Dortmund,"['Jens Lehmann', 'Wolfgang de Beer', 'Dr. Philipp Laux', 'Matthias Kleinsteiber', 'Michael Ratajczak', 'Björn Mehnert', 'Deniz Sahin', 'Christian Wörns', 'Jürgen Kohler', 'Alfred Nijhuis', 'Christoph Metzelder', 'Florian Thorwart', 'Jörg Sauerland', 'Jörg Heinrich', 'Dedê', 'Evanilson', 'Miroslav Stevic', 'Christian Nerlinger', 'Sunday Oliseh', 'Marco Löring', 'Florian Kringe', 'Stefan Reuter', 'Sead Kapetanovic', 'Tomas Rosicky', 'Lars Ricken', 'Otto Addo', 'Vladimir But', 'Francis Bugri', 'Giuseppe Reina', 'Jan Derek Sørensen', 'Ibrahim Tanko', 'Fredi Bobic', 'Heiko Herrlich', 'Victor Ikpeba', 'Emmanuel Krontiris', 'Conor Casey']"
2000,Bayer 04 Leverkusen,"['Adam Matysek', 'Frank Juric', 'Pascal Zuberbühler', 'Tom Starke', 'Jens Nowotny', 'Lúcio', 'Torben Hoffmann', 'Robert Kovac', 'Mile Bozic', 'Thomas Kleine', 'Vratislav Gresko', 'Diego Placente', 'Boris Zivkovic', 'Frankie Hejduk', 'Jörg Reeb', 'Jurica Vranjes', 'Pascal Ojigwe', 'Carsten Ramelow', 'Michael Ballack', 'Andreas Neuendorf', 'Bernd Schneider', 'Marko Babic', 'Zé Roberto', 'Robson Ponté', 'Marquinhos', 'Anel Dzaka', 'Landon Donovan', 'Ulf Kirsten', 'Paulo Rink', 'Dimitar Berbatov', 'Thomas Brdaric', 'Seyed Ali Mousavi', 'Oliver Neuville', 'Markus Daun']"
2000,FC Bayern München,"['Oliver Kahn', 'Bernd Dreher', 'Stefan Wessels', 'Samuel Kuffour', 'Patrik Andersson', 'Thomas Linke', 'Sebastian Backer', 'Bixente Lizarazu', 'Michael Tarnat', 'Stephan Kling', 'Willy Sagnol', 'Thomas Strunz', 'Jens Jeremies', 'Thorsten Fink', 'Owen Hargreaves', 'Alou Diarra', 'Ciriaco Sforza', 'Stefan Effenberg', 'Michael Wiesinger', 'Hasan Salihamidzic', 'Slawomir Wojciechowski', 'Patrick Mölzl', 'Mehmet Scholl', 'Paulo Sérgio', 'Giovane Élber', 'Carsten Jancker', 'Alexander Zickler', 'Roque Santa Cruz', 'Antonio Di Salvo', 'Berkant Göktan']"
2000,TSV 1860 München,"['Michael Hofmann', 'Daniel Hoffmann', 'Simon Jentzsch', 'Markus Esche', 'Axel Keller', 'Ned Zelic', 'Stephan Paßlack', 'Marco Kurz', 'Tomas Votava', 'Holger Greilich', 'Martin Stranzl', 'Uwe Ehlers', 'Achim Pfuderer', 'Mate Lacic', 'Necat Aygün', 'Vidar Riseth', 'Torben Hoffmann', 'Andreas Görlitz', 'Roman Tyce', 'Filip Tapalovic', 'Thomas Riedl', 'Christian Prosenik', 'Erik Mykland', 'Daniel Borimirov', 'Christian Holzer', 'Harald Cerny', 'Martin Cizek', 'Daniel Bierofka', 'Thomas Häßler', 'Christian Fröhlich', 'Awudu Issaka', 'Marcus Pürk', 'Martin Max', 'Bernhard Winkler', 'Paul Agostino', 'Markus Beierle', 'Markus Schroth', 'Benjamin Lauth']"
2000,1.FC Kaiserslautern,"['Georg Koch', 'Uwe Gospodarek', 'Roman Weidenfeller', 'Samir Kamouna', 'Michael Schjønberg', 'Petr Gabriel', 'Murat Yakin', 'Hany Ramzy', 'Slobodan Komljenovic', 'Tomasz Klos', 'Jeff Strasser', 'Harry Koch', 'Marco Stark', 'Rainer Hauck', 'Torsten Reuter', 'Axel Roos', 'Dimitrios Grammozis', 'Rüdiger Ziehl', 'Nenad Bjelica', 'Ratinho', 'Andreas Buck', 'Mario Basler', 'Sebastian Schächter', 'Marco Reich', 'Marian Hristov', 'Youri Djorkaeff', 'Jörgen Pettersson', 'José Dominguez', 'Silvio Adzic', 'Vratislav Lokvenc', 'Olaf Marschall', 'Igli Tare', 'Miroslav Klose', 'Marco Toppmöller']"
2000,Hamburger SV,"['Hans Jörg Butt', 'Carsten Wehlmann', 'Mathias Schober', 'Thomas Hillenbrand', 'Jochen Kientz', 'Andrej Panadic', 'Ingo Hertzsch', 'Nico-Jan Hoogma', 'Benjamin Kruse', 'Tomas Ujfalusi', 'Milan Fukal', 'Ronald Maul', 'Bernd Hollerbach', 'Jan Sandmann', 'Christof Babatz', 'Niko Kovac', 'Stig Töfting', 'Andreas Fischer', 'Martin Groth', 'Harald Spörl', 'Marcel Ketelaer', 'Thomas Doll', 'Rodolfo Cardoso', 'Jacek Dembiński', 'Mehdi Mahdavikia', 'Sergej Barbarez', 'Vanja Grubac', 'Marek Heinz', 'Vahid Hashemian', 'Anthony Yeboah', 'Soner Uysal', 'Roy Präger', 'Mahmut Yilmaz', 'Marinus Bester', 'Karsten Bäron', 'Erik Meijer']"
2000,SC Freiburg,"['Richard Golz', 'Manuel Schoppel', 'Timo Reus', 'Lars Hermel', 'Daniel Schumann', 'Oumar Kondé', 'Stefan Müller', 'Boubacar Diarra', 'Tobias Willi', 'Volker Hügel', 'Andreas Zeyer', 'Sebastian Kehl', 'Björn Dreyer', 'Florian Bruns', 'Michele Borrozzino', 'Giorgi Kiknadze', 'Ralf Kohl', 'Levan Tskitishvili', 'Levan Kobiashvili', 'Zoubaier Baya', 'Marco Weißhaupt', 'Vladimir But', 'Ferydoon Zandi', 'Soumaila Coulibaly', 'Alexander Iashvili', 'Ibrahim Tanko', 'Abder Ramdane', 'Régis Dorn', 'Adel Sellimi']"
2000,1.FC Köln,"['Markus Pröll', 'Alexander Bade', 'Vyacheslav Sokolov', 'Carsten Cullmann', 'Moses Sichone', 'Spasoje Bulajic', 'Andrew Sinkala', 'Jens Keller', 'Janusz Dziwior', 'Thomas Cichon', 'Mitja Schäfer', 'Alexander Voigt', 'Marcel Gebhardt', 'Ivan Vukomanovic', 'Ralf Hauptmann', 'Ivica Grlic', 'Michael Niedrig', 'Michael Rösele', 'Alassane Ouédraogo', 'Markus Kreuz', 'Christian Springer', 'Nermin Celikovic', 'Georgi Donkov', 'Claus-Dieter Wollitz', 'Miroslav Baranek', 'Dirk Lottner', 'Markus Dworrak', 'Christian Timm', 'Matthias Scherz', 'Archil Arveladze', 'Markus Kurth', 'Darko Pivaljevic', 'Massimo Cannizzaro']"
2000,SpVgg Unterhaching,"['Jürgen Wittmann', 'Gerhard Tremmel', 'Guido Koltermann', 'Jörg Bergen', 'Alexander Strehmel', 'Ralf Bucher', 'Jan Seifert', 'Dennis Grassow', 'Hendrik Herzog', 'Alexander Bugera', 'Tobias Iseli', 'Stefan Egger', 'Matthias Zimmermann', 'Danny Schwarz', 'Marco Haber', 'Björn Hertl', 'Dietmar Hirsch', 'Peter Zeiler', 'Dirk Hofmann', 'Oliver Straube', 'Dzoni Novak', 'Ludwig Kögl', 'Martin Cizek', 'Markus Oberleitner', 'Francisco Copado', 'André Breitenreiter', 'Altin Rraklli', 'Alfonso García', 'Abdelaziz Ahanfouf', 'Miroslaw Spizak', 'David Zdrilic', 'Thomas Glas']"
2000,VfB Stuttgart,"['Timo Hildebrand', 'Thomas Ernst', 'Ales Chvalovsky', 'Eberhard Trautner', 'Markus Miller', 'Rui Marques', 'Marcelo Bordon', 'Thomas Schneider', 'Jochen Endreß', 'Martin Spanring', 'Timo Wenzel', 'Steffen Dangelmayr', 'Fabio Morena', 'Stefan Blank', 'Heiko Gerber', 'Bradley Carnell', 'Andreas Hinkel', 'Jörn Schmiedel', 'Pablo Thiam', 'Silvio Meißner', 'Jens Todt', 'Christian Tiffert', 'Zvonimir Soldo', 'Rüdiger Kauf', 'Kristijan Djordjevic', 'Giuseppe Catizone', 'Roberto Pinto', 'Krasimir Balakov', 'Aleksandr Hleb', 'Krisztián Lisztes', 'Jochen Seitz', 'Pavel Kuka', 'Ionel Ganea', 'Adhemar', 'Ahmed Salah Hosny', 'Ioannis Amanatidis', 'Sean Dundee', 'Angelo Vaccaro']"
