Season,Team,Player Names
2000,FC Paris Saint-Germain,"['Dominique Casagrande', 'Lionel Létizi', 'Thomas Levaux', 'Fabrice Kelban', 'Talal El Karkouri', 'Godwin Okpara', 'Frédéric Déhu', 'Mauricio Pochettino', 'Sylvain Distin', 'Grégory Paisley', 'Didier Domi', 'Jimmy Algérino', 'Bernard Mendy', 'Peter Luccin', 'Éric Rabésandratana', 'Édouard Cissé', 'Pierre Ducrocq', 'Aliou Cissé', 'Vampeta', 'Mikel Arteta', 'Fabrice Abriel', 'Igor Yanovski', 'Ali Benarbia', 'Jay-Jay Okocha', 'Stéphane Dalmat', 'Selim Benachour', 'Quique de Lucas', 'Laurent Robert', 'Christian', 'Nicolas Anelka', 'Kaba Diawara', 'Laurent Leroy', 'Matthias Verschave', 'Mickaël Madar']"
2000,CS Sedan-Ardennes,"['Nicolas Sachy', 'Patrick Regnault', 'Christophe Jouault', 'Luis Satorra', 'Jérôme Henrot', 'Pascal Pédemonte', 'Eddy Capron', 'Eduardo Oliveira', 'Pascal Gourville', 'David di Tommaso', 'Jean-Louis Montero', 'Cédric Elzéard', 'Fabien Brandes', 'Jérôme Frétard', 'Salif Diao', 'Eric Crosnier', 'Mathieu Verschuère', ""Modeste M'Bami"", 'Madjid Adjaoud', 'Dzoni Novak', 'Olivier Quint', 'Philippe Celdran', 'Xavier Bécas', 'Allan Petitjean', ""Moussa N'Diaye"", 'Cedric Mionnet', 'Toni Brogno', ""Pius N'Diefi"", 'Alex Di Rocco', 'Alexandre Lecomte']"
2000,FC Girondins Bordeaux,"['Frédéric Roux', 'Ulrich Ramé', 'Arnaud Faget', 'Hervé Alicarte', 'Niša Saveljić', 'Alain Roche', 'David Sommeil', 'Kodjo Afanou', 'Mathieu Beda', 'Jérôme Bonnissel', 'Bruno Basto', 'David Jemmali', 'François Grenet', 'Aleksey Smertin', 'Lassina Diabaté', 'Michel Pavon', 'Bruno Da Rocha', 'Laurent Batlles', 'Sylvain Legwinski', 'Marc Wilmots', 'Pascal Feindouno', 'Hervé Bugnet', 'Lilian Laslandes', 'Tony Vairelles', 'Pauleta', 'Christophe Dugarry']"
2000,SC Bastia,"['Eric Durand', 'Ali Boumnijel', 'Nicolas Penneteau', 'Morlaye Soumah', 'Frédéric Mendy', 'Cyril Domoraud', 'Christophe Deguerville', 'Clayton', 'Patrick Valéry', 'Demetrius Ferreira', 'Patrick Moreau', 'Piotr Swierczewski', 'Laurent Casanova', 'Franck Matingou', 'Michael Essien', 'Sébastien Piocelle', 'Lilian Nalis', 'Stéphane Odet', 'Yann Lachuer', 'Benjamin Ajiboye', 'Dan Petersen', 'Frédéric Née', 'Pierre-Yves André', 'Pierre Laurent', 'Prince Daye', 'Ousmane Soumah', 'David Faderne']"
2000,LOSC Lille,"['Grégory Wimbée', 'Teddy Richert', 'Eric Allibert', 'Laurent Pichon', 'Riad Hammadou', 'Johnny Ecker', 'Pascal Cygan', 'Abdelilah Fahmi', 'Matthieu Delpierre', 'Michael Klukowski', 'Christophe Pignol', 'Didier Santini', 'Stéphane Pichot', 'Benoît Cheyrou', ""Sylvain N'Diaye"", ""Fernando D'Amico"", 'Patrick Collot', 'Christophe Landrin', 'Bruno Cheyrou', 'Edvin Murati', 'Mile Sterjovski', 'Ted Agasson', 'Geoffrey Dernis', 'Jean-Louis Valois', 'Mikkel Beck', 'Laurent Peyrelade', 'Dagui Bakari', 'Djezon Boutoille']"
2000,AS Monaco,"['Stéphane Porato', 'André Biancarelli', 'Patrice Luzi', 'Jean-Marie Aubry', 'Pablo Contreras', 'Rafa Márquez', 'Philippe Christanval', 'Martin Djetou', 'David di Tommaso', 'Bruno Irles', 'Julien Rodriguez', 'Nicolas Plestan', 'Gaël Givet', 'Yanis Cavaglia', 'John Arne Riise', 'Franck Jurietti', 'Philippe Léonard', 'Éric Abidal', 'Christian Panucci', 'Uliano Courville', 'Costinha', 'Ousmane Dabo', 'Pontus Farnerud', 'Nicolas Bonnal', 'Marcelo Gallardo', 'Ludovic Giuly', 'Grégory Lacombe', 'Marco Simone', 'Xavier Gravelaine', 'Wagneau Eloi', 'Shabani Nonda', 'Dado Prso', 'Florin Raducioiu']"
2000,AS Saint-Étienne,"['Jérôme Alonzo', 'Maksym Levitsky', 'Florent Perraud', 'Jérémie Janot', 'Luiz Alberto', 'Patrice Carteron', 'Bjørn Tore Kvarme', 'Sylvain Meslien', 'Stéphane Hernandez', 'Lucién Mettomo', 'Jean-Guy Wallemme', 'Mickael Pontal', 'Lionel Potillon', 'Allan Olesen', 'Fousseni Diawara', 'Jérôme Tagherset', ""Alassane N'Dour"", 'Fabien Boudarène', 'Pape Sarr', 'Laurent Huard', 'Julien Sablé', 'Baptiste Lafleuriel', 'Karim Fellahi', 'Stéphane Pédron', 'Tchiressoua Guel', 'Alain Masudi', 'Aleksandr Panov', 'Aloisio Chulapa', 'Loïc Chavériat', 'Christophe Sanchez', 'Alex Dias', 'Alex Di Rocco']"
2000,ESTAC Troyes,"['Tony Heurtebis', 'Hervé Sekli', 'Richard Jezierski', 'Édouard Thomas', 'Benoît Croissant', 'Mehdi Méniri', 'Mohamed Bradja', 'Yannick Zambernardi', 'Sekou Berthé', 'Carl Tourenne', 'Alexandre Jeannin', 'Luciano Zavagno', 'Pascal Renier', 'David Hamed', 'Jérôme Monier', 'Frédéric Adam', 'Éric Roy', 'Fabio Celestini', 'Jérôme Rothen', 'Frédéric Arpinon', 'Sladjan Djukic', 'Nordin Jbari', 'Samuel Boutal', 'Farid Ghazi', 'Mamadou Niang', 'Nicolas Goussé', 'Rafik Saïfi']"
2000,Olympique Marseille,"['Stéphane Trévisan', 'Damien Grégorini', 'Cédric Carrasso', 'Pierre Issa', ""Bruno N'Gotty"", 'Abdoulaye Méïté', 'Zoumana Camara', 'William Gallas', 'Jacques Abardonado', 'Manuel dos Santos', 'Jean-Christophe Marquet', 'Patrick Blondeau', 'Sébastien Pérez', 'Lilian Martin', 'Brahim Hemdani', 'Klas Ingesson', 'Lucas Bernardi', 'Frédéric Brando', 'Mickaël Marsiglia', 'Benjamin Gavanon', 'Djamel Belmadi', 'Jovan Stankovic', 'Marcelinho Paraíba', 'Adriano Gabirú', 'Daniel Montenegro', 'Karim Dahou', 'Jérôme Leroy', 'Cédric Mouret', 'Alen Skoro', 'Florian Maurice', 'Cyrille Pouget', 'Dramane Coulibaly', 'Pablo Calandria', 'Ibrahima Bakayoko', 'George Weah']"
2000,RC Straßburg Alsace,"['Thierry Debès', 'Christophe Eggimann', 'Nicolas Bonis', 'José Luis Chilavert', 'Jean-Christophe Devaux', 'Teddy Bertin', 'Valérien Ismaël', 'Pape Malick Diop', 'Nuno Mendes', 'Yannick Fischer', 'Cédric Kanté', 'Didier Santini', 'Fabrice Ehret', 'Pierre Njanka', 'Habib Bèye', 'Stéphane Roda', 'Brahim Hemdani', 'Vincent Doukantie', 'Rafik Mezriche', 'Pascal Johansen', 'Pascal Camadini', 'Gharib Amzine', 'Corentin Martins', 'Joseph Cyrille Ndo', 'Yacine Abdessadki', 'Mamadou Bagayoko', 'Péguy Luyindula', 'Danijel Ljuboja', 'Jacques Remy', 'Gonzalo Belloso', 'Mario Haas', 'Denni Conteh', 'Grzegorz Spiewak']"
