Team,Player Names
FC Bayern München,"['Manuel Neuer', 'Daniel Peretz', 'Sven Ulreich', 'Tom Hülsmann', 'Matthijs de Ligt', 'Dayot Upamecano', 'Min-jae Kim', 'Tarek Buchmann', 'Alphonso Davies', 'Raphaël Guerreiro', 'Frans Krätzig', 'Noussair Mazraoui', 'Bouna Sarr', 'Joshua Kimmich', 'Aleksandar Pavlovic', 'Leon Goretzka', 'Konrad Laimer', 'Taichi Fukui', 'Jamal Musiala', 'Kingsley Coman', 'Leroy Sané', 'Serge Gnabry', 'Thomas Müller', 'Harry Kane', 'Mathys Tel', 'Eric Maxim Choupo-Moting']"
Borussia Dortmund,"['Gregor Kobel', 'Marcel Lotka', 'Alexander Meyer', 'Nico Schlotterbeck', 'Niklas Süle', 'Mats Hummels', 'Antonios Papadopoulos', 'Ramy Bensebaini', 'Julian Ryerson', 'Marius Wolf', 'Thomas Meunier', 'Mateu Morey', 'Emre Can', 'Salih Özcan', 'Abdoulaye Kamara', 'Marcel Sabitzer', 'Felix Nmecha', 'Ole Pohlmann', 'Julian Brandt', 'Giovanni Reyna', 'Marco Reus', 'Karim Adeyemi', 'Jamie Bynoe-Gittens', 'Donyell Malen', 'Julien Duranville', 'Sébastien Haller', 'Youssoufa Moukoko', 'Niclas Füllkrug']"
Bayer 04 Leverkusen,"['Lukas Hradecky', 'Matej Kovar', 'Niklas Lomb', 'Piero Hincapié', 'Edmond Tapsoba', 'Jonathan Tah', 'Odilon Kossounou', 'Madi Monamay', 'Alejandro Grimaldo', 'Jeremie Frimpong', 'Josip Stanisic', 'Arthur', 'Timothy Fosu-Mensah', 'Granit Xhaka', 'Noah Mbamba', 'Exequiel Palacios', 'Robert Andrich', 'Nadiem Amiri', 'Gustavo Puerta', 'Florian Wirtz', 'Ayman Aourir', 'Amine Adli', 'Nathan Tella', 'Jonas Hofmann', 'Patrik Schick', 'Adam Hlozek', 'Victor Boniface']"
RasenBallsport Leipzig,"['Péter Gulácsi', 'Janis Blaswich', 'Leopold Zingerle', 'Timo Schlieck', 'Mohamed Simakan', 'Castello Lukeba', 'Willi Orbán', 'El Chadaille Bitshiabu', 'Tim Köhler', 'David Raum', 'Christopher Lenz', 'Benjamin Henrichs', 'Lukas Klostermann', 'Xaver Schlager', 'Nicolas Seiwald', 'Amadou Haidara', 'Ilaix Moriba', 'Kevin Kampl', 'Dani Olmo', 'Christoph Baumgartner', 'Fábio Carvalho', 'Emil Forsberg', 'Xavi Simons', 'Loïs Openda', 'Timo Werner', 'Benjamin Sesko', 'Yussuf Poulsen']"
VfL Wolfsburg,"['Koen Casteels', 'Pavao Pervan', 'Philipp Schulze', 'Niklas Klinger', 'Maxence Lacroix', 'Sebastiaan Bornauw', 'Moritz Jenz', 'Cédric Zesiger', 'Felix Lange', 'Rogério', 'Nicolas Cozza', 'Joakim Maehle', 'Ridle Baku', 'Kilian Fischer', 'Lovro Majer', 'Mattias Svanberg', 'Maximilian Arnold', 'Aster Vranckx', 'Yannick Gerhardt', 'Kevin Paredes', 'Jakub Kaminski', 'Ulysses Llanez', 'Patrick Wimmer', 'Vaclav Cerny', 'Jonas Wind', 'Lukas Nmecha', 'Amin Sarr', 'Tiago Tomás', 'Dzenan Pejcinovic']"
1.FC Union Berlin,"['Frederik Rönnow', 'Alexander Schwolow', 'Jakob Busk', 'Yannic Stein', 'Danilho Doekhi', 'Diogo Leite', 'Paul Jaeckel', 'Robin Knoche', 'Leonardo Bonucci', 'Jérôme Roussillon', 'Josip Juranovic', 'Christopher Trimmel', 'Rani Khedira', 'Lucas Tousart', 'Alex Kral', 'Aljoscha Kemlein', 'Janik Haberer', 'Aïssa Laïdouni', 'András Schäfer', 'Laurenz Dehl', 'Robin Gosens', 'Brenden Aaronson', 'Sheraldo Becker', 'David Datro Fofana', 'Kevin Volland', 'Mikkel Kaufmann', 'Kevin Behrens', 'Benedict Hollerbach']"
Borussia Mönchengladbach,"['Jonas Omlin', 'Jan Olschowsky', 'Tobias Sippel', 'Moritz Nicolas', 'Nico Elvedi', 'Maximilian Wöber', 'Ko Itakura', 'Marvin Friedrich', 'Fabio Chiarodia', 'Tony Jantschke', 'Mamadou Doucouré', 'Luca Netz', 'Lukas Ullrich', 'Joe Scally', 'Stefan Lainer', 'Simon Walde', 'Julian Weigl', 'Christoph Kramer', 'Manu Koné', 'Florian Neuhaus', 'Rocco Reitz', 'Hannes Wolf', 'Robin Hack', 'Yvandro Borges Sanches', 'Franck Honorat', 'Nathan Ngoumou', 'Patrick Herrmann', 'Alassane Plea', 'Jordan', 'Tomas Cvancara', 'Grant-Leon Ranos']"
Eintracht Frankfurt,"['Kevin Trapp', 'Kauã Santos', 'Jens Grahl', 'Simon Simoni', 'Robin Koch', 'Tuta', 'Willian Pacho', 'Hrvoje Smolcic', 'Makoto Hasebe', 'Nnamdi Collins', 'Dario Gebuhr', 'Davis Bautista', 'Niels Nkounkou', 'Philipp Max', 'Aurélio Buta', 'Timothy Chandler', 'Ellyes Skhiri', 'Kristijan Jakic', 'Junior Dina Ebimbe', 'Hugo Larsson', 'Sebastian Rode', 'Marcel Wenig', 'Sidney Raebiger', 'Mehdi Loune', 'Harpreet Ghotra', 'Ansgar Knauff', 'Mario Götze', 'Paxten Aaronson', 'Farès Chaïbi', 'Jens Petter Hauge', 'Omar Marmoush', 'Jessic Ngankam', 'Lucas Alario', 'Nacho', 'Noel Futkeu']"
SC Freiburg,"['Noah Atubolu', 'Florian Müller', 'Benjamin Uphoff', 'Philipp Lienhart', 'Matthias Ginter', 'Kenneth Schmidt', 'Manuel Gulde', 'Max Rosenfelder', 'Christian Günter', 'Jordy Makengo', 'Kiliann Sildillia', 'Lukas Kübler', 'Yannik Keitel', 'Nicolas Höfler', 'Maximilian Eggestein', 'Merlin Röhl', 'Daniel-Kofi Kyereh', 'Vincenzo Grifo', 'Noah Weißhaupt', 'Ritsu Doan', 'Roland Sallai', 'Maximilian Philipp', 'Junior Adamu', 'Michael Gregoritsch', 'Lucas Höler']"
TSG 1899 Hoffenheim,"['Oliver Baumann', 'Luca Philipp', 'Nahuel Noll', 'Attila Szalai', 'Ozan Kabak', 'Stanley Nsoki', 'Kevin Akpoguma', 'Kevin Vogt', 'John Anthony Brooks', 'Kasim Adams', 'Joshua Quarshie', 'Marco John', 'Pavel Kaderabek', 'Diadié Samassékou', 'Florian Grillitsch', 'Anton Stach', 'Dennis Geiger', 'Grischa Prömel', 'Finn Ole Becker', 'Umut Tohumcu', 'Tom Bischof', 'Julian Justvan', 'Marius Bülter', 'Bambasé Conté', 'Robert Skov', 'Mergim Berisha', 'Wout Weghorst', 'Andrej Kramaric', 'Ihlas Bebou', 'Maximilian Beier']"
