Season,Team,Player Names
2020,FC Bayern München,"['Manuel Neuer', 'Alexander Nübel', 'Sven Ulreich', 'Ron-Thorben Hoffmann', 'Lukas Schneller', 'David Alaba', 'Lucas Hernández', 'Niklas Süle', 'Benjamin Pavard', 'Tanguy Nianzou', 'Jérôme Boateng', 'Chris Richards', 'Bright Arrey-Mbi', 'Kilian Senkbeil', 'Alphonso Davies', 'Rémy Vita', 'Alexander Lungwitz', 'Bouna Sarr', 'Josip Stanisic', 'Joshua Kimmich', 'Marc Roca', 'Javi Martínez', 'Adrian Fein', 'Angelo Stiller', 'Maximilian Zaiser', 'Leon Goretzka', 'Corentin Tolisso', 'Michaël Cuisance', 'Tiago Dantas', 'Jamal Musiala', 'Christopher Scott', 'Malik Tillman', 'Kingsley Coman', 'Serge Gnabry', 'Leroy Sané', 'Douglas Costa', 'Daniels Ontuzans', 'Thomas Müller', 'Leon Dajaku', 'Armindo Sieb', 'Robert Lewandowski', 'Joshua Zirkzee', 'Eric Maxim Choupo-Moting', 'Fiete Arp', 'Dimitri Oberlin']"
2020,Borussia Dortmund,"['Roman Bürki', 'Marwin Hitz', 'Luca Unbehaun', 'Stefan Drljaca', 'Manuel Akanji', 'Dan-Axel Zagadou', 'Mats Hummels', 'Raphaël Guerreiro', 'Nico Schulz', 'Marcel Schmelzer', 'Thomas Meunier', 'Mateu Morey', 'Marius Wolf', 'Felix Passlack', 'Lukasz Piszczek', 'Emre Can', 'Axel Witsel', 'Jude Bellingham', 'Mahmoud Dahoud', 'Thomas Delaney', 'Tobias Raschl', 'Ansgar Knauff', 'Dominik Wanner', 'Giovanni Reyna', 'Julian Brandt', 'Reinier', 'Marco Reus', 'Jadon Sancho', 'Thorgan Hazard', 'Erling Haaland', 'Youssoufa Moukoko', 'Steffen Tigges']"
2020,RasenBallsport Leipzig,"['Péter Gulácsi', 'Josep Martínez', 'Philipp Tschauner', 'Dayot Upamecano', 'Ibrahima Konaté', 'Willi Orbán', 'Marcel Halstenberg', 'Angeliño', 'Lukas Klostermann', 'Nordi Mukiele', 'Benjamin Henrichs', 'Hugo Novoa', 'Tyler Adams', 'Eric Martel', 'Marcel Sabitzer', 'Konrad Laimer', 'Dominik Szoboszlai', 'Amadou Haidara', 'Kevin Kampl', 'Lazar Samardzic', 'Sidney Raebiger', 'Dani Olmo', 'Emil Forsberg', 'Joscha Wosz', 'Justin Kluivert', 'Dennis Borkowski', 'Fabrice Hartmann', 'Christopher Nkunku', 'Ademola Lookman', 'Yussuf Poulsen', 'Alexander Sørloth', 'Hee-chan Hwang']"
2020,Bayer 04 Leverkusen,"['Lukas Hradecky', 'Lennart Grill', 'Niklas Lomb', 'Marcel Johnen', 'Edmond Tapsoba', 'Jonathan Tah', 'Aleksandar Dragovic', 'Tin Jedvaj', 'Daley Sinkgraven', 'Wendell', 'Jeremie Frimpong', 'Santiago Arias', 'Timothy Fosu-Mensah', 'Mitchell Weiser', 'Sven Bender', 'Lars Bender', 'Julian Baumgartlinger', 'Kerem Demirbay', 'Nadiem Amiri', 'Exequiel Palacios', 'Charles Aránguiz', 'Cem Türkmen', 'Florian Wirtz', 'Leon Bailey', 'Paulinho', 'Demarai Gray', 'Moussa Diaby', 'Karim Bellarabi', 'Samed Onur', 'Patrik Schick', 'Lucas Alario', 'Joel Pohjanpalo', 'Emrehan Gedikli']"
2020,Borussia Mönchengladbach,"['Yann Sommer', 'Tobias Sippel', 'Jan Olschowsky', 'Max Grün', 'Matthias Ginter', 'Nico Elvedi', 'Jordan Beyer', 'Tony Jantschke', 'Mamadou Doucouré', 'Ramy Bensebaini', 'Andreas Poulsen', 'Oscar Wendt', 'Stefan Lainer', 'Joe Scally', 'Michael Lang', 'Kaan Kurt', 'Denis Zakaria', 'Christoph Kramer', 'Florian Neuhaus', 'László Bénes', 'Rocco Reitz', 'Valentino Lazaro', 'Lars Stindl', 'Torben Müsel', 'Famana Quizera', 'Hannes Wolf', 'Jonas Hofmann', 'Patrick Herrmann', 'Ibrahima Traoré', 'Marcus Thuram', 'Alassane Plea', 'Breel Embolo', 'Julio Villalba']"
2020,Eintracht Frankfurt,"['Kevin Trapp', 'Frederik Rönnow', 'Markus Schubert', 'Elias Bördner', 'Evan Ndicka', 'Martin Hinteregger', 'Tuta', 'Almamy Touré', 'Simon Falette', 'Makoto Hasebe', 'Fynn Otto', 'Felix Irorere', 'Yannick Brugger', 'David Abraham', 'Jetro Willems', 'Danny da Costa', 'Erik Durm', 'Timothy Chandler', 'Dominik Kohr', 'Stefan Ilsanker', 'Lukas Fahrnberger', 'Djibril Sow', 'Sebastian Rode', 'Aymen Barkok', 'Ajdin Hrustic', 'Filip Kostić', 'Daichi Kamada', 'Amin Younes', 'Steven Zuber', 'André Silva', 'Luka Jović', 'Gonçalo Paciência', 'Bas Dost', 'Ragnar Ache', 'Ali Akman', 'Jabez Makanda']"
2020,VfL Wolfsburg,"['Koen Casteels', 'Pavao Pervan', 'Niklas Klinger', 'Lino Kasten', 'Maxence Lacroix', 'John Anthony Brooks', 'Marin Pongracic', 'Jeffrey Bruma', 'Tim Siersleben', 'Paulo Otávio', 'Jérôme Roussillon', 'Ridle Baku', 'Kevin Mbabu', 'William', 'Josuha Guilavogui', 'Xaver Schlager', 'Maximilian Arnold', 'Yannick Gerhardt', 'Luca Horn', 'Yunus Malli', 'Josip Brekalo', 'Victor Sá', 'Renato Steffen', 'Felix Klaus', 'Maximilian Philipp', 'Admir Mehmedi', 'Wout Weghorst', 'Bartosz Bialek', 'Omar Marmoush', 'Daniel Ginczek']"
2020,Hertha BSC,"['Alexander Schwolow', 'Rune Jarstein', 'Nils-Jonathan Körber', 'Marcel Lotka', 'Niklas Stark', 'Jordan Torunarigha', 'Dedryck Boyata', 'Márton Dárdai', 'Omar Alderete', 'Karim Rekik', 'Maximilian Mittelstädt', 'Luca Netz', 'Marvin Plattenhardt', 'Deyovaisio Zeefuik', 'Lukas Klünter', 'Peter Pekarik', 'Lucas Tousart', 'Santiago Ascacíbar', 'Jonas Dirkner', 'Mattéo Guendouzi', 'Arne Maier', 'Vladimir Darida', 'Eduard Löwen', 'Sami Khedira', 'Jonas Michelbrink', 'Julian Albrecht', 'Ondrej Duda', 'Nemanja Radonjić', 'Mathew Leckie', 'Dodi Lukébakio', 'Javairô Dilrosun', 'Marten Winkler', 'Matheus Cunha', 'Krzysztof Piatek', 'Jhon Córdoba', 'Daishawn Redan', 'Jessic Ngankam', 'Ruwen Werthmüller']"
2020,TSG 1899 Hoffenheim,"['Oliver Baumann', 'Philipp Pentke', 'Luca Philipp', 'Nahuel Noll', 'Chris Richards', 'Kevin Akpoguma', 'Kevin Vogt', 'Kasim Adams', 'Ermin Bicakcic', 'Håvard Nordtveit', 'Benjamin Hübner', 'Gabriel Haider', 'Max Geschwill', 'Marco John', 'Konstantinos Stafylidis', 'Stefan Posch', 'Pavel Kaderabek', 'Joshua Brenet', 'Florian Grillitsch', 'Diadié Samassékou', 'Sebastian Rudy', 'Melayro Bogarde', 'Alfons Amade', 'Dennis Geiger', 'Ryan Sessegnon', 'Mijat Gacinovic', 'Christoph Baumgartner', 'Jacob Bruun Larsen', 'Robert Skov', 'Andrej Kramaric', 'Ihlas Bebou', 'Munas Dabbur', 'João Klauss', 'Sargis Adamyan', 'Georginio Rutter', 'Ishak Belfodil', 'Maximilian Beier']"
2020,VfB Stuttgart,"['Gregor Kobel', 'Fabian Bredlow', 'Jens Grahl', 'Waldemar Anton', 'Marc Oliver Kempf', 'Konstantinos Mavropanos', 'Clinton Mola', 'Marcin Kaminski', 'Antonis Aidonis', 'Borna Sosa', 'Pascal Stenzel', 'Wataru Endo', 'Atakan Karazor', 'Luca Mack', 'Orel Mangala', 'Naouirou Ahamada', 'Gonzalo Castro', 'Roberto Massimo', 'Mateo Klimowicz', 'Philipp Förster', 'Erik Thommy', 'Daniel Didavi', 'Philipp Klement', 'Lilian Egloff', 'Darko Churlinov', 'Momo Cissé', 'Silas', 'Nicolás González', 'Tanguy Coulibaly', 'Sasa Kalajdzic', 'Mohamed Sankoh', 'Hamadi Al-Ghaddioui']"
2020,1.FSV Mainz 05,"['Florian Müller', 'Robin Zentner', 'Finn Dahmen', 'Omer Hanin', 'Marius Liesegang', 'Jerry St. Juste', 'Moussa Niakhaté', 'Edimilson Fernandes', 'Stefan Bell', 'Alexander Hack', 'Luca Kilian', 'Dimitri Lavalée', 'Aarón Martín', 'Ridle Baku', 'Danny da Costa', 'Phillipp Mwene', 'Daniel Brosinski', 'Dominik Kohr', 'Niklas Tauer', 'Leandro Barreiro', 'Pierre Kunde', 'Danny Latza', 'Merveille Papela', 'Jean-Paul Boëtius', 'Kevin Stöger', 'Paul Nebel', 'Levin Öztunali', 'Issah Abass', 'Jean-Philippe Mateta', 'Robin Quaison', 'Jonathan Burkardt', 'Karim Onisiwo', 'Robert Glatzel', 'Dong-won Ji', 'Ádám Szalai', 'Marlon Mustapha']"
2020,SC Freiburg,"['Florian Müller', 'Mark Flekken', 'Benjamin Uphoff', 'Niclas Thiede', 'Philipp Lienhart', 'Keven Schlotterbeck', 'Dominique Heintz', 'Manuel Gulde', 'Luca Itter', 'Christian Günter', 'Jonathan Schmid', 'Lukas Kübler', 'Kiliann Sildillia', 'Baptiste Santamaria', 'Nicolas Höfler', 'Yannik Keitel', 'Amir Abrashi', 'Janik Haberer', 'Lino Tempelmann', 'Carlo Boukhalfa', 'Guus Til', 'Woo-yeong Jeong', 'Vincenzo Grifo', 'Nishan Burkart', 'Roland Sallai', 'Chang-hoon Kwon', 'Kevin Schade', 'Ermedin Demirovic', 'Lucas Höler', 'Nils Petersen']"
