Season,Team,Player Names
2000,FC Barcelona,"['Richard Dutruel', 'Francesc Arnau', 'Pepe Reina', 'Víctor Valdés', 'Frank de Boer', 'Abelardo', 'Carles Puyol', 'Ibán Cuadrado', 'David Bermudo', 'Sergi Barjuan', 'Fernando Navarro', 'Michael Reiziger', 'Pep Guardiola', 'Phillip Cocu', 'Emmanuel Petit', 'Gabri', 'Thiago Motta', 'Gerard López', 'Xavi', 'Luis Enrique', 'Iván de la Peña', 'Jari Litmanen', 'Marc Overmars', 'Simão', 'Boudewijn Zenden', 'Sergio Santamaría', 'Rivaldo', 'Alfonso', 'Patrick Kluivert', 'Dani García']"
2000,Athletic Bilbao,"['Iñaki Lafuente', 'Imanol Etxeberria', 'Daniel Aranzubia', 'Rafael Alkorta', 'Roberto Ríos', 'Aitor Larrazabal', 'Mikel Lasa', 'Asier del Horno', 'Oskar Vales', 'Felipe Guréndez', 'Mari Lacruz', 'Iñigo Larrainzar', 'Josu Urrutia', 'Andoni Imaz', 'Carlos García', 'Pablo Orbaiz', 'Tiko', 'Javi González', 'David Cuéllar', 'Bittor Alkiza', 'Julen Guerrero', 'Carlos Merino', 'Fran Yeste', 'Joseba Etxeberria', 'David Asensio', 'Santiago Ezquerro', 'Ismael Urzaiz']"
2000,FC Málaga,"['Rafa González', 'Pedro Contreras', 'Francisco Bravo', 'Martín Rivas', 'Mikel Roteta', 'Fernando Sanz', 'Txomin Larrainzar', 'Josemi', 'Raúl Iznata', 'Vicente Valcarce', 'Roberto Rojas', 'Andrés Pato', 'José María Movilla', 'Gonzalo de los Santos', 'Sandro', 'Manuel Ruano', 'Awule Quaye', 'Ariel Zárate', 'Kiki Musampa', 'Agostinho', 'Edgar', 'Francisco Rufete', 'Darío Silva', 'Basti', 'Irurzun', 'Manuel Canabal', 'Julio Dely Valdés']"
2000,Real Saragossa,"['Juanmi', 'César Laínez', 'Marco Lanna', 'Xavi Aguado', 'Miguel Rebosio', 'Gary Sundgren', 'Paco Jémez', 'César Jiménez', 'Carlos Cuartero', 'Pablo Díaz', 'Jordi Ferrón', 'Sergey Gurenko', 'José Ignacio', 'Vladislav Radimov', 'Santi Aragón', 'Miguel Ángel Corona', 'Roberto Acuña', 'Marcos Vales', 'Ander Garitano', 'Martín Vellisca', 'Daniel Montenegro', 'Paulo Jamelli', 'Juanele', 'Yordi', 'Juan Esnáider', 'Alen Peternac']"
2000,Racing Santander,"['José Ceballos', 'Erwin Lemmens', 'Dani Roiz', 'Borja', 'Claudio Arzeno', 'Olof Mellberg', 'Txema Alonso', 'Luis Miguel Ramis', 'Juanma Delgado', 'José Moratón', 'Neru', 'Sietes', 'Juan Cárdenas', 'Javier Pineda', 'Washington Tais', 'Gonzalo Colsa', 'Jaime', 'Mehdi Nafti', 'Ismael Ruiz', 'David Billabona', 'Fernando Morán', 'José Amavisca', 'Marcelo Espina', 'Javier Manjarín', 'Ángel Vivar Dorado', 'Julio Álvarez', 'Mario Regueiro', 'Maximiliano Estévez', 'Sigurd Rushfeldt', 'Federico Magallanes', 'Vladimir Beschastnykh', 'Javier Mazzoni', 'Léider Preciado']"
2000,Deportivo Alavés,"['Martín Herrera', 'Kike Burgos', 'Dan Eggen', 'Antonio Karmona', 'Óscar Téllez', 'Josu Sarriegi', 'Ibon Begoña', 'Vlatko Djolonga', 'Josete', 'Cosmin Contra', 'Delfí Geli', 'Raúl Gañán', 'Nacho Zaragoza', 'Ivan Tomic', 'Hermes Desio', 'Pablo Gómez', 'Martín Astudillo', 'Jorge Azkoitia', 'Pablo Brandán', 'Magno', 'Jordi Cruyff', 'Mario Rosas', 'Asier Salcedo', 'Javi Moreno', 'Iván Alonso', 'Jurica Vucko', 'Juan Epitié']"
2000,RCD Mallorca,"['Germán Burgos', 'Carlos Roa', 'Miki', 'Leo Franco', 'Alberto Cifuentes', 'Fernando Niño', 'Sergio Pelegrín', 'Gustavo Siviero', 'Juan Viale', 'Miguel Ángel Nadal', 'Romerito', 'Miquel Soler', 'Luis Rubiales', 'Lluís Carreras', 'Alejandro Marañón', 'Armando Álvarez', 'Miquel Buades', 'Javier Olaizola', 'Jorge Cordero', 'Marcos Martín', 'Paco Soler', 'Vicente Engonga', 'Alejandro Campano', 'Álvaro Novo', 'Jovan Stankovic', 'Julián Robles', 'Albert Riera', 'Ariel Ibagaza', 'Kike Mateo', 'Roberto Merino', 'Josemi', 'Albert Luque', 'Finidi George', 'Carlitos', ""Samuel Eto'o"", 'Jesús Perera', 'Leo Biagini', 'Ramón', 'Dani Güiza']"
2000,Real Sociedad San Sebastián,"['Alberto López', 'Mattias Asper', 'Iker Álvarez', 'Sergio Korino', 'Loren', 'Jon Andoni Pikabea', 'Luiz Alberto', 'Júlio César', 'Zuhaitz Gurrutxaga', 'Igor Jauregi', 'Agustín Aranzabal', 'Miguel Fuentes', 'Aitor López Rekarte', 'Txefe Guerrero', 'Mikel Aranburu', 'Frédéric Peiremans', 'Xabi Alonso', 'Dmitriy Khokhlov', 'Mikel Alonso', 'Tayfun Korkut', 'Stéphane Collet', 'Javi de Pedro', 'Igor Gabilondo', 'Iñigo Idiakez', 'Alberto Alejandro', 'Giorgi Demetradze', 'Arif Erdem', 'Óscar de Paula', 'Joseba Llorente', 'Rubén Vega', 'Edgaras Jankauskas', 'Sergio Francisco']"
2000,CD Numancia,"['Álvaro Núñez', 'Raúl Rodríguez', 'Gustavo', 'Miguel Ángel Soria', 'Diego Jaume', 'Juan Muñiz', 'José Antonio Culebras', 'Mikel Antía', 'Octavio', 'Rafael Clavero', 'Manel Menéndez', 'Tito Blanco', 'Claudio Marini', 'Curro Montoya', 'Txomin Nagore', 'Pacheta', 'Caco Morán', 'Iñaki Hurtado', 'José Manuel', 'David Pirri', 'Constantin Barbu', 'Mario Larrea', 'Laurentiu Rosu', 'Iván Pérez', 'Rubén Navarro', 'Jorge Delgado', 'Perico Ojeda']"
2000,CA Osasuna,"['Ricardo Sanzol', 'Nuno Espírito Santo', 'Iban Pérez', 'José Mateo', 'Aitor Ocio', 'César Cruchaga', 'Risto Vidakovic', 'Aitor Fresán', 'Francisco Jusué', 'Carlos Llorens', 'José Manuel Yanguas', 'Gerardo', 'Josema', 'Ángel Lekunberri', 'Alfredo', 'Ángel Rodríguez', 'Sergey Shustikov', 'Álex Fernández', 'César Palacios', 'Óscar Arpón', 'Alfonso Vera', 'Leandro Sena', 'Leonel Gancedo', 'Moha', 'Cuco Ziganda', 'Ángel Luis', 'Mariano Armentano', 'Miroslaw Trzeciak', 'Sabino Sánchez', 'Iván Rosado']"
