Season,Team,Player Names
2000,FC Arsenal,"['David Seaman', 'Alexander Manninger', 'John Lukic', 'Stuart Taylor', 'Igors Stepanovs', 'Martin Keown', 'Tony Adams', 'Matthew Upson', 'Sylvinho', 'Stefan Malz', 'Ashley Cole', 'Guy Demel', 'Lee Canoville', 'Lee Dixon', 'Laurén', 'Oleg Luzhnyi', 'Nelson Vivas', 'Rhys Weston', 'Moritz Volz', 'Patrick Vieira', 'Gilles Grimandi', 'Sebastian Svärd', 'Edú Gaspar', 'Paolo Vernazza', 'Freddie Ljungberg', 'Ray Parlour', 'Robert Pirès', 'Alberto Méndez', 'Jermaine Pennant', 'Dennis Bergkamp', 'Sylvain Wiltord', 'Jo Kuffour', 'Thierry Henry', 'Tomas Danilevicius', 'Nwankwo Kanu', 'Christopher Wreh', 'Graham Barrett']"
2000,Charlton Athletic,"['Dean Kiely', 'Sasa Ilic', 'Ben Roberts', 'Tony Caig', 'Richard Rufus', 'Carl Tiler', 'Steve Brown', 'Eddie Youds', 'Andy Todd', 'Jonathan Fortune', 'Mark Fish', 'Chris Powell', 'Paul Konchesky', 'Greg Shields', 'Radostin Kishishev', 'Mark Kinsella', 'Karim Bagheri', 'Scott Parker', 'Kemal Izzet', 'Shaun Newton', 'John Salako', 'Graham Stuart', 'Claus Jensen', 'Mark DeBolla', 'John Robinson', 'Andy Hunt', 'Clive Mendonca', 'Martin Pringle', 'Jonatan Johansson', 'Mathias Svensson', 'Kevin Lisbie', 'Charlie MacDonald', 'Shaun Bartlett']"
2000,Manchester United,"['Fabien Barthez', 'Mark Bosnich', 'Andy Goram', 'Raimond van der Gouw', 'Paul Rachubka', 'David May', 'Ronny Johnsen', 'Jaap Stam', 'Wes Brown', ""John O'Shea"", 'Paul Tierney', 'Denis Irwin', 'Mikaël Silvestre', 'Mark Lynch', 'Gary Neville', 'Phil Neville', 'Henning Berg', 'Mike Clegg', 'Roy Keane', 'Nicky Butt', 'Paul Scholes', 'Ronnie Wallwork', 'Quinton Fortune', 'Mark Wilson', 'Michael Stewart', 'Jonathan Greening', 'Michael Twiss', 'David Beckham', 'Ryan Giggs', 'Jesper Blomqvist', 'Luke Chadwick', 'Bojan Djordjic', 'Alex Notman', 'Andy Cole', 'Teddy Sheringham', 'Dwight Yorke', 'Ole Gunnar Solskjaer', 'David Healy', 'Danny Webber']"
2000,Derby County,"['Mart Poom', 'Andy Oakes', 'Lee Grant', 'Horacio Carbonari', ""Brian O'Neil"", 'Stefan Schnoor', 'Darryl Powell', 'Danny Higginbotham', 'Jacob Laursen', 'Youl Mawéné', 'Steve Elliott', 'Chris Riggott', 'Bjørn Otto Bragstad', 'Con Blatsis', 'Ian Evatt', 'Fiachra McArdle', 'Paul Boertien', 'Taribo West', 'Lilian Martin', 'Richard Jackson', 'Lewis Hunt', 'Adam Bolder', 'Simo Valakari', 'Rory Delap', 'Seth Johnson', 'Lars Bohinen', 'Adam Murray', 'Kristoffer Weckström', 'Stefano Eranio', 'Giorgi Kinkladze', 'Craig Burley', 'Malcolm Christie', 'Thórdur Gudjónsson', 'Gary Twigg', 'Dean Sturridge', 'Deon Burton', 'Lee Morris', 'Branko Strupar', 'Marvin Robinson']"
2000,West Ham United,"['Les Sealey', 'Shaka Hislop', 'Craig Forrest', 'Stephen Bywater', ""Alex O'Reilly"", 'Igor Stimac', 'Hayden Foxe', 'Christian Dailly', 'Rigobert Song', 'Rio Ferdinand', 'Ian Pearce', 'Christian Bassila', 'Hannu Tihinen', 'Darren Peacock', 'Javier Margas', 'Terrell Forbes', 'Stevland Angus', 'Ragnvald Soma', 'Izzy Iriekpen', 'Stuart Pearce', 'Nigel Winterburn', 'Scott Minto', 'Shaun Byrne', 'Gary Charles', 'Steve Potts', 'Adam Newton', 'Sébastien Schemmel', 'Vanni Chiarotto', 'Michael Ferrante', 'Michael Carrick', 'Steve Lomas', 'Frank Lampard', 'Grant McCann', 'Marc Keller', 'John Moncur', 'Joe Cole', 'Trevor Sinclair', 'Richard García', 'Ömer Riza', 'Marc Keller', 'Davor Suker', 'Paolo Di Canio', 'Paul Kitson', 'Frédéric Kanouté', 'Kaba Diawara', 'Titi Camara', 'Jermain Defoe', 'Svetoslav Todorov']"
2000,Coventry City,"['Gary Montgomery', 'Alan Miller', 'Magnus Hedman', 'Chris Kirkland', 'Morten Hyldgaard', 'Calum Davenport', 'Paul Williams', 'Colin Hendry', 'Richard Shaw', 'Gary Breen', 'Muhamed Konjic', 'Runar Normann', 'Iván Guerrero', 'Marcus Hall', 'Tomas Antonelius', 'Marc Edworthy', 'Paul Telfer', 'Barry Quinn', 'Robert Betts', 'Carlton Palmer', 'John Eustace', 'Gavin Strachan', 'Lee Carsley', 'Youssef Chippo', 'Lee Fowler', 'Craig Pead', 'David Thompson', 'Mustapha Hadji', 'Steve Froggatt', 'Craig Bellamy', 'Gary McSheffrey', 'Laurent Delorge', 'Jairo Martínez', 'John Hartson', 'Cédric Roussel', 'Ysrael Zúñiga', 'John Aloisi', 'Jay Bothroyd']"
2000,FC Everton,"['Paul Gerrard', 'Steve Simonsen', 'Thomas Myhre', 'Richard Gough', 'David Weir', 'Richard Dunne', 'Dave Watson', 'Peter Clarke', 'Alessandro Pistone', 'David Unsworth', 'Michael Ball', 'Gary Naysmith', 'Steve Watson', 'Alec Cleland', 'Abel Xavier', 'Tony Hibbert', 'Stephen Hughes', 'Thomas Gravesen', 'Idan Tal', 'Alex Nyarko', 'Scot Gemmill', 'Leon Osman', 'Niclas Alexandersson', 'Peter Degn', 'Mark Pembridge', 'David Carney', 'Kevin McLeod', 'Paul Gascoigne', 'Danny Cadamarteri', 'Kevin Campbell', 'Francis Jeffers', 'Joe-Max Moore', 'Duncan Ferguson', 'Phil Jevons', 'Mark Hughes']"
2000,Leeds United,"['Chad Harpur', 'Paul Murphy', 'Nigel Martyn', 'Paul Robinson', 'Danny Milosevic', 'Kevin Aherne-Evans', 'Shane Cansdell-Sherriff', 'Robert Molenaar', 'Lucas Radebe', 'Jonathan Woodgate', 'Michael Duberry', 'Danny Hay', 'Rio Ferdinand', 'Ian Harte', 'Dominic Matteo', 'Gareth Evans', 'Alan Maybury', 'Gary Kelly', 'Danny Mills', 'Wesley Boyle', 'Steven Ferguson', 'Olivier Dacourt', 'David Batty', 'Jacob Burns', 'Lee Bowyer', 'Alan Smith', 'Eirik Bakke', 'Matthew Jones', 'Jamie McMaster', 'Stephen McPhail', 'Tony Hackworth', 'Harry Kewell', 'Jason Wilcox', 'Darren Huckerby', 'Robbie Keane', 'Michael Bridges', 'Mark Viduka']"
2000,Leicester City,"['Tim Flowers', 'Simon Royce', 'Michael Price', 'Ian Andrews', 'Jon Ashton', 'Frank Sinclair', 'Gerry Taggart', 'Steve Walsh', 'Phil Gilchrist', 'Matt Elliott', 'Damien Delaney', 'Danny Thomas', 'Callum Davidson', 'Jordan Stewart', 'Gary Rowett', 'Stuart Campbell', 'Andy Impey', 'Matthew Jones', 'Neil Lennon', 'Robbie Savage', 'Stefan Oakes', 'Lee Marshall', 'Billy McKinlay', 'Matt Piper', 'Darren Eadie', 'Junior Lewis', 'Muzzy Izzet', 'Stuart Wilson', 'Steve Guppy', 'Kevin Ellison', 'Arnar Gunnlaugsson', 'Roberto Mancini', 'Jon Stevenson', 'Stan Collymore', 'Trevor Benjamin', 'Dean Sturridge', 'Ade Akinbiyi', 'Richard Cresswell', 'Tony Cottee', 'Lawrie Dudfield']"
2000,FC Liverpool,"['Sander Westerveld', 'Pegguy Arphexad', 'Jörgen Nielsen', 'Stéphane Henchoz', 'Rigobert Song', 'Markus Babbel', 'Sami Hyypiä', 'Jamie Carragher', 'Djimi Traoré', 'Frode Kippe', 'Steve Staunton', 'Grégory Vignal', 'Vegard Heggem', 'Stephen Wright', 'Dietmar Hamann', 'Igor Biscan', 'Alan Navarro', 'Daniel Sjölund', 'Leyton Maxwell', 'Jamie Redknapp', 'Danny Murphy', 'Steven Gerrard', 'Gary McAllister', 'Richie Partridge', 'Christian Ziege', 'Nick Barmby', 'Vladimir Smicer', 'Patrik Berger', 'Jari Litmanen', 'Bernard Diomède', 'Emile Heskey', 'Robbie Fowler', 'Michael Owen', 'Erik Meijer', 'Titi Camara']"
